Company Name,Company Website,Company Email,Company Address
Shangwei Yeya Inc,Not available,Not available,"2 Wall StNew York, NY 10005"
Derivix Corp,Not available,Not available,"14 Wall StNew York, NY 10005"
Intersoft Kk,http://www.intersoftkk.com,Not available,"14 Wall StNew York, NY 10005"
Promosoft,Not available,Not available,"14 Wall StNew York, NY 10005"
Northstar Systems International,Not available,mailto:sales@northstar.com,"14 Wall StNew York, NY 10005"
Eidosmedia Inc,http://www.eidosmedia.com,Not available,"14 Wall StNew York, NY 10005"
Entransit Inc,http://ferrex.com,mailto:alwaysthinkgreenlady@gmail.com,"14 Wall StNew York, NY 10005"
"A.R.T. SOFTWARE, INC.",http://www.xenomorph.com,mailto:info@getscalap.com,"14 Wall StreetNew York, NY 10005"
Easy2Comply,https://www.checkpoint.com/quantum/security-compliance,Not available,"14 Wall StNew York, NY 10005"
Merlin USA,https://merlinnetwork.org,Not available,"154 Grand StNew York, NY 10013"
Argsoft Group,http://www.argent.com,Not available,"30 Wall StNew York, NY 10005"
Grosfeld Jason,Not available,Not available,"25 Monroe StNew York, NY 10002"
"Blackbird Logical Applications, LLC",http://www.blackbird.io,mailto:info@blackbird.io,"247 Centre St, 7th FloorNew York, NY 10013"
Ict International,https://www.icf.com,mailto:info@icfi.com,"40 Wall St Fl 34New York, NY 10005"
Mark Mary Ellen,http://mark43.com,Not available,"37 Greene StNew York, NY 10013"
Popkin Software & Systems Inc,Not available,Not available,"2 Rector StNew York, NY 10006"
Core Security Technologies,http://www.coresecurity.com,Not available,"44 Wall StNew York, NY 10005"
"Street Smarts VR, Inc.",https://www.streetsmartsvr.com,Not available,"44 Wall StNew York, NY 10005"
OTCesp Systems LLC,http://www.otcesp.com,Not available,"71 Broadway Lobby 2B #154New York, NY 10006"
Kualitatem,https://www.kualitatem.com,mailto:ray.parker@kualitatem.com,"48 Wall StNew York, NY 10005"
Choice Maker Technologies,http://choicemaker.com,Not available,"48 Wall St Fl 11New York, NY 10005"
Cole Systems,http://www.uxceclipse.com,mailto:ivancole@colesys.com,"174 Hudson StNew York, NY 10013"
Intraworlds Inc,http://www.intraworlds.com,Not available,"80 Pine StNew York, NY 10005"
Schuch Heavylift Corp,http://www.schuch-heavylift.com/contact.html,Not available,"80 Pine StNew York, NY 10005"
Broadcast Manager Inc,https://promosuite.com,Not available,"65 BroadwayNew York, NY 10006"
365 Operating Co,http://www.365datacenters.com,Not available,"65 BroadwayNew York, NY 10006"
Townsend Analytics Ltd,https://www.ezesoft.com/solutions/applications/ems,Not available,"65 BroadwayNew York, NY 10006"
Artstacks,http://www.artstacks.com,mailto:artstacks@aol.com,"401 Washington StNew York, NY 10013"
1Fort,http://www.forte.fit,Not available,"341 W BroadwayNew York, NY 10013"
Decisively Inc,http://decisive.is,Not available,"481 BroadwayNew York, NY 10013"
Collibra Inc,http://www.collibra.com,Not available,"61 BroadwayNew York, NY 10006"
Vital AI,http://www.vital.ai/site/privacy-policy.html,mailto:info@vital.ai,"61 BroadwayNew York, NY 10006"
Nextset,http://www.royal-rcc.com,Not available,"88 Pine StNew York, NY 10005"
Dealogic,http://www.dealogic.com,Not available,"67 Wall StNew York, NY 10005"
"Raintank, Inc",http://raintank.io,Not available,"29 BroadwayNew York, NY 10006"
Next Caller Inc.,https://nextcaller.com,mailto:hi@nextcaller.com,"450 Broome StNew York, NY 10013"
It Convergence,https://www.itconvergence.com/contact,Not available,"55 BroadwayNew York, NY 10006"
"Mezu, Inc.",https://alviere.com,mailto:care@mezu.com,"101 Avenue Of The Americas Fl 9New York, NY 10013"
Havas CX Helia,http://havasluxeny.com,Not available,"200 Hudson StNew York, NY 10013"
Blackwood Trading,Not available,Not available,"100 Wall StNew York, NY 10005"
Auterion Inc,Not available,Not available,"100 Wall StNew York, NY 10005"
Bullish Inc,http://bullish.co,mailto:hey@bullish.co,"135 BoweryNew York, NY 10002"
Election Systems & Software,Not available,Not available,"42 BroadwayNew York, NY 10004"
Colure Media Inc.,http://www.colure.co,mailto:info@colure.co,"62 Greene St 2nd FlNew York, NY 10012"
REDI Tech LLC,http://www.redi.com,mailto:redi-info@redi.com,"30 Pike StNew York, NY 10002"
Algorizin Inc,https://algorizin.com,Not available,"99 Wall StNew York, NY 10005"
"Cybercentric Technologies, Inc",http://www.cybercentric.com,mailto:mlevin@legalkey.com,"99 Wall StNew York, NY 10005"
Bowmo Inc,https://www.bowmo.com,mailto:info@bowmo.com,"99 Wall StNew York, NY 10005"
Track.Ly,Not available,Not available,"99 Wall StNew York, NY 10005"
"Parrut, Inc",https://www.uncubedstudios.com,Not available,"50 Eldridge StNew York, NY 10002"
Routehappy Inc,https://www.atpco.net/solutions/merchandising/routehappy,Not available,"110 Wall StNew York, NY 10005"
Metamako,https://www.arista.com/en/7130-information?referrer=,Not available,"110 Wall StNew York, NY 10005"
Forsta Software Products,http://www.focusvision.com,Not available,"5 Hanover SqNew York, NY 10004"
Bureau Van Dijk,Not available,mailto:pb@bvdep.com,"55 Broad StNew York, NY 10004"
Davidsohn Group,http://davidsohn.com,mailto:mgoldstein@davidsohn.com,"55 Broad St Fl 26New York, NY 10004"
Software Solutions Inc,http://www.softsolint.com,mailto:Priyanka@softsolint.com,"50 Broad St Ste 1912New York, NY 10004"
GCOM Software,http://www.gcomsoft.com,Not available,"50 Broad StNew York, NY 10004"
Tech Headz Inc,https://nessdigi.com,Not available,"55 Broad StNew York, NY 10004"
Kanzen,Not available,Not available,"56 Beaver st apt 501New York, NY 10004"
PeopleDoc,http://updoc.com,mailto:customercare@squarespace.com,"60 Broad St Ste 3502New York, NY 10004"
New York Software Industry Association,Not available,Not available,"55 Broad St Rm 23aNew York, NY 10004"
HG Software Inc.,http://getscalpel.com,mailto:info@getscalap.com,"25 BroadwayNew York, NY 10004"
Digifi,http://www.digifi.io,mailto:info@digifi.io,"25 BroadwayNew York, NY 10004"
"Healthify, Inc",http://www.realmatch.com,Not available,"77 Water StNew York, NY 10005"
Blue Whale Apps Inc,https://bluewhaleapps.com,Not available,"77 Water StNew York, NY 10005"
GSD (Formerly CRM Passport),Not available,Not available,"73 Spring St Rm 503New York, NY 10012"
Microbank Software,http://microsoft.com,mailto:webmaster@electronichelp.com,"80 Broad StNew York, NY 10004"
"DataOrg, LLC",https://www.dataorg.com,Not available,"80 Broad StreetNew York, NY 10004"
Inlumen Inc,http://inlumen.com,mailto:wloewe@newsalert.com,"80 Broad StNew York, NY 10004"
Lucky Star Global Software,Not available,Not available,"62 Allen StNew York, NY 10002"
Compunnel Software Group,http://compunnel.com,Not available,"11 BroadwayNew York, NY 10004"
Messapps,http://messapps.com,mailto:info@messapps.com,"85 Broad StNew York, NY 10004"
Prognos Health,https://www.prognos.ai,Not available,"85 Broad StNew York, NY 10004"
Cureatr,https://www.cureatr.com/contact-us,Not available,"85 Broad StNew York, NY 10004"
Image Info,Not available,Not available,"550 BroadwayNew York, NY 10012"
Wddg Inc,Not available,Not available,"511 Canal St Rm 400New York, NY 10013"
Varnish Software AB,http://www.tworoadssoftware.com,mailto:info@varnish-software.com,"85 Broad St, Floor 17, Office 16New York, NY 10004"
Valroge Corp,Not available,Not available,"414 W BroadwayNew York, NY 10012"
Fenics Software,https://www.fenics.com,Not available,"55 Water StNew York, NY 10041"
automotiveMastermind Inc,https://www.automotivemastermind.com,Not available,"55 Water StNew York, NY 10041"
"Novetta, Inc",http://www.ibgweb.com,Not available,"1 Battery Park PlzNew York, NY 10004"
PowerToFly Inc,http://www.powertofly.com,mailto:hi@powertofly.com,"560 Broadway Rm 308New York, NY 10012"
The Cast,https://www.mywecast.com,mailto:elisa@thecast.com,"71 Orchard StNew York, NY 10002"
Guac Star,Not available,Not available,"66 Pearl StNew York, NY 10004"
Ryklin Software Inc,http://www.ryklinsoftware.com,Not available,"60 Pearl StNew York, NY 10004"
Motive Music Production,Not available,Not available,"286 Spring St Rm 301New York, NY 10013"
"Lev, Inc",https://www.levcapital.com,Not available,"233 Spring StNew York, NY 10013"
Stativ Ltd,Not available,Not available,"112 Prince StNew York, NY 10012"
Xref Software Solutions,Not available,Not available,"568 BroadwayNew York, NY 10012"
John Gailer Inc,http://gailer.com/blog,Not available,"150 Varick StNew York, NY 10013"
C Nario,Not available,Not available,"580 BroadwayNew York, NY 10012"
Artery VFX Inc,https://www.the-artery.com,Not available,"580 BroadwayNew York, NY 10012"
2 Bridge Software,Not available,Not available,"33 Whitehall StNew York, NY 10004"
Moss Inc,http://www.cfx.com,Not available,"588 BroadwayNew York, NY 10012"
Tempest Software,http://to-safe.com,mailto:webmaster@softwarehelp2000.com,"1 West StNew York, NY 10004"
"Gachot, Inc",https://www.gachotstudios.com/thestudio,mailto:david@inch-inc.com,"594 BroadwayNew York, NY 10012"
Cloudester Software,https://cloudester.com,mailto:info@cloudester.com,"85 Delancey StNew York, NY 10002"
6D Global Technologies,http://www.6dglobal.com,Not available,"17 State St Ste 2550New York, NY 10004"
Go Green Ride,Not available,mailto:info@gogreenride.com,"17 State StNew York, NY 10004"
TALON PREDICTIVE ANALYTICS LLC,Not available,Not available,"17 State Street, Suite 450CNew York, NY 10004"
Napa Group,https://www.napa.com,Not available,"240 Madison StNew York, NY 10002"
Tobaldi Limited,Not available,Not available,"83 Rivington St Frnt 1New York, NY 10002"
Showcase,Not available,Not available,"183 Clinton StNew York, NY 10002"
Vertic Inc.,http://www.vertic.com,mailto:hello@vertic.com,"180 Varick St Rm 1620New York, NY 10014"
Mpoint Media,http://onpointmediagroup.com,mailto:info@onpointmediagroup.com,"175 Varick StNew York, NY 10014"
Genepeeks Inc,http://www.genepeeks.com,Not available,"175 Varick StNew York, NY 10014"
Prime Focus Technologies,http://www.primefocustechnologies.com,Not available,"345 Hudson StNew York, NY 10014"
Rockstar Games Inc.,http://www.rockstargames.com,mailto:jennifer@rockstargames.com,"622 Broadway 5th FlNew York, NY 10012"
Level Ten Solutions,http://leveltensolutions.com,Not available,"51 Macdougal St Apt 277New York, NY 10012"
Vaultus,http://www.vaultus.com,mailto:ailyas@mobilelogic.com,"632 BroadwayNew York, NY 10012"
Data Synapse,http://www.datasynapse.com,mailto:LLacctmngmt@tibco.com,"632 Broadway Rm 3ANew York, NY 10012"
Acadaca LLC,http://www.acadaca.com,mailto:jobs@acadaca.com,"636 Broadway Rm 516New York, NY 10012"
Bleeker St Corp,Not available,Not available,"33 Bleecker StNew York, NY 10012"
Base One International Corp,http://boic.com,Not available,"532 Laguardia PlNew York, NY 10012"
Invisible Hand Networks Inc,http://www.invisiblehand.net,Not available,"670 BroadwayNew York, NY 10012"
Zyara NY Mediterranean Food,Not available,Not available,"57 Clinton StNew York, NY 10002"
Innovest Systems,http://www.innovestsystems.com,mailto:info@innovestsystems.com,"110 Leroy St Fl 5New York, NY 10014"
Hello Health,http://www.hellohealth.com,mailto:info@hellohealth.com,"10 Morton StNew York, NY 10014"
Software Pundits,Not available,Not available,"67 Bedford StNew York, NY 10014"
Voicemate,Not available,Not available,"95 Morton StNew York, NY 10014"
Aproject,https://aproject.xyz,mailto:support@aproject.xyz,"411 Lafayette StNew York, NY 10003"
Saxon Technologies,http://pctechconsulting.com,mailto:timryan@pipeline.com,"419 Lafayette StNew York, NY 10003"
Mirabi Inc,Not available,Not available,"179 W 4th StNew York, NY 10014"
Anguima 4 Inc,Not available,Not available,"215 E 4th StNew York, NY 10009"
Blogger Outreach Services,https://www.bloggeroutreach.com,Not available,"96 Christopher StNew York, NY 10014"
Kanban Solutions,http://www.kanbansolutions.com/careers.html,Not available,"41 E 11th StNew York, NY 10003"
Knoa Software Inc,http://www.iscinc.com,Not available,"41 E 11th StNew York, NY 10003"
Arago US Inc,https://www.theindagogroup.com/contact,Not available,"41 E 11th StNew York, NY 10003"
50Onred,http://www.50onred.com,Not available,"41 E 11th StNew York, NY 10003"
"Delmar & Delmar, Inc",http://www.delmaranddelmar.com,Not available,"561 Hudson StNew York, NY 10014"
Falconwood Corp,http://www.falconwood.biz,Not available,"67 Ervin PlNew York, NY 10003"
eSoftware Associates Inc.,http://www.excelhelp.com,mailto:mike@softwareprojects.com,"228 Park Avenue South 28801New York, NY 10003"
Bitefood Ltd,http://imightbite.com,mailto:info@imightbite.com,"31 Perry StNew York, NY 10014"
Chartis,https://chartis.io,Not available,"610 E 9th StNew York, NY 10009"
Olah Inc,http://olah.com/contact,mailto:dan@bringmethat.com,"833 BroadwayNew York, NY 10003"
Ina 6 Inc,http://www.inanyc.com,mailto:ndong@hitentertainment.com,"110 E 13th StNew York, NY 10003"
StorONE Inc,https://www.storone.com,Not available,"111 E 14th StNew York, NY 10003"
BMM Art & Computer Inc,http://www.bmm-nyc.com,Not available,"1 Irving PlNew York, NY 10003"
"online solution,s 4u",Not available,Not available,"14 W 14th StNew York, NY 10011"
"Marks, Roger",Not available,Not available,"105 W 13th StNew York, NY 10011"
Lewek Corp,Not available,Not available,"281 W 12th StNew York, NY 10014"
RNF Technologies Inc.,http://www.rnftechnologies.com,mailto:imran.ali@rnftechnologies.com,"511 Avenue Of The Americas Ste 720New York, NY 10011"
Leagueapps,https://leagueapps.com/contact,Not available,"30 Irving PlNew York, NY 10003"
Cardinal Maps & Design,https://www.cardinalmaps.com,Not available,"451 E 14th StNew York, NY 10009"
"InstEvent, Inc.",http://www.venuebook.com,Not available,"32 Union Sq E Ste 1008New York, NY 10003"
Tech Troop,https://www.nyweteach.com,mailto:join@techtroop.net,"33 Irving PlNew York, NY 10003"
Tech Plus Systems Inc,http://www.techsystem.com,Not available,"31 W 15th StNew York, NY 10011"
MCSP Inc,Not available,Not available,"838 Greenwich StNew York, NY 10014"
Adware Systems,Not available,Not available,"79 5th AveNew York, NY 10003"
Netsmart Technologies Inc,http://ntst.com,Not available,"5 E 16th StNew York, NY 10003"
Betaworks,https://www.betaworks.com,Not available,"85 5th AveNew York, NY 10003"
"Unqork, Inc",http://www.unqork.com,Not available,"85 5th AveNew York, NY 10003"
Games For Change,https://www.gamesforchange.org,Not available,"225 E 17th StNew York, NY 10003"
Koxa Corp.,https://www.koxa.io,mailto:conner@koxa.io,"233 E 17th St Apt 4New York, NY 10003"
Equametrics Inc,http://www.equametrics.com,Not available,"34 W 17th StNew York, NY 10011"
Ukg,https://www.ukg.com,Not available,"200 Park Ave SNew York, NY 10003"
"Noodle Partners, Inc",https://www.noodle.com,Not available,"860 BroadwayNew York, NY 10003"
Silverline,http://www.silverlinecrm.com,Not available,"860 Broadway Fl 5New York, NY 10003"
Marin Software,http://www.marinsoftware.com,mailto:martinez@relavis.com,"215 Park Ave S Ste 1801New York, NY 10003"
Alpha Sense Inc,https://www.alpha-sense.com,Not available,"215 Park Ave SNew York, NY 10003"
Custom Integrated Systems Corp,Not available,Not available,"13 W 17th StNew York, NY 10011"
Tocca Limited,http://www.tocca.com,Not available,"581 Avenue Of The AmericasNew York, NY 10011"
"Fintel Technologies, Inc.",Not available,Not available,"130 E 18th StNew York, NY 10003"
Soundcloud Inc,http://cloudera.com,Not available,"101 5th AveNew York, NY 10003"
Azure Software,http://azuresys.com,Not available,"42 W 17th St Apt 2aNew York, NY 10011"
Rethinkit Software,Not available,Not available,"105 5th AveNew York, NY 10003"
1stop Dvd Replication,Not available,Not available,"873 Broadway Ste 205New York, NY 10003"
Landa App 2,https://landa.app,Not available,"6 W 18th St Frnt 2New York, NY 10011"
DarioHealth Corp,https://www.dariohealth.com,Not available,"18 W 18th StNew York, NY 10011"
"Amperity, Inc",https://amperity.com,Not available,"44 W 18th St Fl 3New York, NY 10011"
Piron Corp,http://www.pironcorp.com,Not available,"228 Park Ave SNew York, NY 10003"
TakeOne Network Corp,https://www.wrapbook.com,Not available,"228 Park Ave SNew York, NY 10003"
WrapBook,http://wrapbook.com,Not available,"228 Park Ave SNew York, NY 10003"
Uppercut Inc,http://www.uppercutnyc.com,Not available,"7 W 18th StNew York, NY 10011"
Caplin Systems,Not available,Not available,"111 5th AveNew York, NY 10003"
"Playdots, Inc",https://www.dots.co,Not available,"416 W 13th StNew York, NY 10014"
Avero,http://www.averoinc.com,mailto:sales@averoinc.com,"235 Park Ave S Fl 7New York, NY 10003"
Kinocorp,https://kinolorber.com,Not available,"8 W 19th StNew York, NY 10011"
Eyeview Inc,Not available,Not available,"29 E 19th StNew York, NY 10003"
Bootstrap Software,https://www.modusagency.com,Not available,"408 W 14th StNew York, NY 10014"
Proclivity Systems,http://www.proclivitysystems.com,Not available,"22 W 19th StNew York, NY 10011"
